Name,Description,Recommended Setting,Complexity,SMB Justification (if not using recommended)
CISv4 - WIN - L2 - Allow Camera,This policy setting controls whether the use of Camera devices on the machine are permitted. The recommended state for this setting is: Not allowed.,Not allowed,Simple,"Blocking camera access at the device level prevents video calls and scanning workflows. For most SMBs using Teams/Zoom, camera access is required. Consider per-app permissions instead of a blanket device-level block."
CISv4 - WIN - L2 - Allow Cloud Search,This policy setting allows search and Cortana to search cloud sources like OneDrive and SharePoint. The recommended state for this setting is: Not allowed.,Not allowed,Simple,Cloud-based search features send query data to Microsoft. Disabling is low-friction and appropriate for privacy-conscious SMBs. No business search is lost.
CISv4 - WIN - L2 - Allow Cross Device Clipboard,This setting determines whether Clipboard contents can be synchronized across devices. The recommended state for this setting is: Block.,Block,Simple,Cross-device and shared clipboard features can leak data across personal and work devices. Disabling is low-friction for managed SMB endpoints and reduces data exfiltration risk.
CISv4 - WIN - L2 - Allow Font Providers,This policy setting determines whether Windows is allowed to download fonts and font catalog data from an online font provider. The recommended state for this setting is: Not allowed.,Not allowed,Simple,"Online font providers fetch font data from external servers, which can be a minor privacy/security concern. Blocking is low-risk; only deviate if specific applications depend on online font services."
CISv4 - WIN - L2 - Allow Location,"This policy setting turns off the location feature for the computer. The recommended state for this setting is: Force Location Off Force Location Off. All Location Privacy settings are toggled off and grayed out. Users can't change the settings, and no apps are allowed access to the Location service, including Cortana and Search..",Force Location Off Force Location Off,Simple,Location services on workstations are rarely needed for business functions. Disabling is low-risk and appropriate for most SMB environments.
CISv4 - WIN - L2 - Allow Message Sync,This policy setting allows backup and restore of cellular text messages to Microsoft's cloud services. The recommended state for this setting is: message sync is not allowed and cannot be changed by the user..,message sync is not allowed and cannot be changed by the user,Simple,Cross-device and shared clipboard features can leak data across personal and work devices. Disabling is low-friction for managed SMB endpoints and reduces data exfiltration risk.
CISv4 - WIN - L2 - Allow Online Tips,This policy setting configures the retrieval of online tips and help for the Settings app. The recommended state for this setting is: Block.,Block,Simple,Online tips connect to Microsoft servers for Settings app suggestions. Blocking is low-risk and appropriate for managed environments.
CISv4 - WIN - L2 - Allow Remote Shell Access,This policy setting allows you to manage configuration of remote access to all supported shells to execute scripts and commands. The recommended state for this setting is: Disabled,Disabled,Moderate,Remote Shell (WinRM shell) access provides command-line remote execution. Disabling is strongly recommended; use RMM or Azure Arc for remote management instead.
CISv4 - WIN - L2 - Allow Shared User App Data,Manages a Windows app's ability to share data between users who have installed the app. Data is shared through the SharedLocal folder. This folder is available through the Windows.Storage API. The recommended state for this setting is: Block.,Block,Simple,Cross-device and shared clipboard features can leak data across personal and work devices. Disabling is low-friction for managed SMB endpoints and reduces data exfiltration risk.
CISv4 - WIN - L2 - Allow Windows Spotlight (User),This policy setting determines whether the all Windows Spotlight features are turned on/off (together). The recommended state for this setting is: Block.,Block,Moderate,Windows Spotlight sends lock screen telemetry to Microsoft. Disabling is low-friction and appropriate for SMBs with data privacy obligations. No business functionality is lost.
CISv4 - WIN - L2 - Allow remote server management  through WinRM Service,This policy setting allows you to manage whether the Windows Remote Management (WinRM) service automatically listens on the network for requests on the HTTP transport over the default HTTP port. The recommended state for this setting is: Disabled.,Disabled,Moderate,Disabling unauthenticated/unencrypted WinRM is critical for lateral movement prevention. Some RMM tools depend on WinRM; migrate to HTTPS/Kerberos-authenticated WinRM or use your RMM's agent channel.
CISv4 - WIN - L2 - Allow search highlights,This policy setting controls search highlights in the start menu search box and in search home. The recommended state for this setting is: 0.,0,Simple,Cloud-based search features send query data to Microsoft. Disabling is low-friction and appropriate for privacy-conscious SMBs. No business search is lost.
CISv4 - WIN - L2 - Allow suggested apps in Windows Ink  Workspace,This policy setting determines whether suggested apps in Windows Ink Workspace are allowed. The recommended state for this setting is: Block.,Block,Simple,"'allow suggested apps in windows ink  workspace' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L2 - Allow users to connect remotely by  using Remote Desktop Services,This policy setting allows you to configure remote access to computers by using Remote Desktop Services. The recommended state for this setting is: Disabled.,Disabled,Moderate,"Enabling Remote Desktop access is a significant attack surface expansion. For SMBs, RMM tools (e.g., N-sight, Datto RMM) replace direct RDP. Disable unless RDP is explicitly required and protected by MFA/NLA."
